"block ""plot"" ""full_species_original"" ""basal_area"""
"Poland ""POL35"" ""Carpinus.betulus"" 0.713052353125"
"Poland ""POL35"" ""Picea.abies"" 1.03641815625"
"Poland ""POL35"" ""Pinus.sylvestris"" 0.526692478125"
"Poland ""POL35"" ""Quercus.robur"" 0.541067128125"
"Poland ""POL36"" ""Betula.pendula"" 1.2656172375"
"Poland ""POL36"" ""Carpinus.betulus"" 0.428946821875"
"Poland ""POL36"" ""Quercus.robur"" 0.720740434375"
"Poland ""POL37"" ""Betula.pendula"" 0.4715945625"
"Poland ""POL37"" ""Carpinus.betulus"" 0.401091028125"
"Poland ""POL37"" ""Picea.abies"" 1.174440325"
"Poland ""POL37"" ""Pinus.sylvestris"" 0.746391918749999"
"Poland ""POL37"" ""Quercus.robur"" 0.552486334375"
"Poland ""POL38"" ""Betula.pendula"" 0.69405798125"
"Poland ""POL38"" ""Carpinus.betulus"" 0.4703377625"
"Poland ""POL38"" ""Pinus.sylvestris"" 2.420346421875"
"Poland ""POL39"" ""Betula.pendula"" 0.656506171874999"
"Poland ""POL39"" ""Carpinus.betulus"" 1.01988338125"
"Poland ""POL39"" ""Pinus.sylvestris"" 0.665146671875"
"Poland ""POL39"" ""Quercus.robur"" 0.79823491875"
"Poland ""POL40"" ""Pinus.sylvestris"" 4.42828570625"
"Poland ""POL41"" ""Betula.pendula"" 1.53866685625"
"Poland ""POL41"" ""Picea.abies"" 0.866097209375"
"Poland ""POL41"" ""Pinus.sylvestris"" 0.42157785"
"Poland ""POL41"" ""Quercus.robur"" 0.92968834375"
"Poland ""POL42"" ""Betula.pendula"" 0.69064105625"
"Poland ""POL42"" ""Carpinus.betulus"" 0.6533985375"
"Poland ""POL42"" ""Picea.abies"" 0.895273625"
"Poland ""POL42"" ""Pinus.sylvestris"" 0.666501659375"
"Poland ""POL43"" ""Picea.abies"" 0.93105315"
"Poland ""POL43"" ""Pinus.sylvestris"" 1.2886913"
"Poland ""POL43"" ""Quercus.robur"" 0.648037499999999"
"Romania ""ROM01"" ""Picea.abies"" 3.419254203875"
"Romania ""ROM02"" ""Picea.abies"" 4.67069807575"
"Romania ""ROM03"" ""Acer.pseudoplatanus"" 1.1095006835"
"Romania ""ROM03"" ""Fagus.sylvatica"" 2.45383719625"
"Romania ""ROM03"" ""Picea.abies"" 1.056066849625"
"Romania ""ROM05"" ""Abies.alba"" 3.629287085125"
"Romania ""ROM05"" ""Picea.abies"" 2.031393136125"
"Romania ""ROM06"" ""Acer.pseudoplatanus"" 2.29532565275"
"Romania ""ROM06"" ""Fagus.sylvatica"" 1.9595310795"
"Romania ""ROM07"" ""Abies.alba"" 6.61509001737499"
"Romania ""ROM08"" ""Abies.alba"" 1.48514052975"
"Romania ""ROM08"" ""Acer.pseudoplatanus"" 0.981309439999999"
"Romania ""ROM08"" ""Fagus.sylvatica"" 2.304008766125"
"Romania ""ROM08"" ""Picea.abies"" 0.781919298249999"
"Romania ""ROM09"" ""Fagus.sylvatica"" 2.84237220325"
"Romania ""ROM09"" ""Picea.abies"" 2.438389946"
"Romania ""ROM10"" ""Abies.alba"" 1.078113085375"
"Romania ""ROM10"" ""Acer.pseudoplatanus"" 0.632288224999999"
"Romania ""ROM10"" ""Picea.abies"" 2.605259013125"
"Romania ""ROM11"" ""Abies.alba"" 0.93391826125"
"Romania ""ROM11"" ""Fagus.sylvatica"" 1.1660174085"
"Romania ""ROM11"" ""Picea.abies"" 1.932244576875"
"Romania ""ROM12"" ""Fagus.sylvatica"" 2.0803409795"
"Romania ""ROM12"" ""Picea.abies"" 1.920892923625"
"Romania ""ROM13"" ""Fagus.sylvatica"" 3.405305687625"
"Romania ""ROM14"" ""Acer.pseudoplatanus"" 2.075604610875"
"Romania ""ROM14"" ""Fagus.sylvatica"" 1.217202355875"
"Romania ""ROM15"" ""Acer.pseudoplatanus"" 2.415673875125"
"Romania ""ROM16"" ""Acer.pseudoplatanus"" 3.30489031325"
"Romania ""ROM17"" ""Abies.alba"" 1.522521100125"
"Romania ""ROM17"" ""Picea.abies"" 4.575765098625"
"Romania ""ROM18"" ""Abies.alba"" 2.3748327845"
"Romania ""ROM18"" ""Fagus.sylvatica"" 1.688199938375"
"Romania ""ROM18"" ""Picea.abies"" 2.124365701625"
"Romania ""ROM19"" ""Abies.alba"" 1.175132939625"
"Romania ""ROM19"" ""Fagus.sylvatica"" 3.3417392965"
"Romania ""ROM20"" ""Abies.alba"" 0.9763521495"
"Romania ""ROM20"" ""Acer.pseudoplatanus"" 0.877546264625"
"Romania ""ROM20"" ""Fagus.sylvatica"" 1.974426712375"
"Romania ""ROM21"" ""Acer.pseudoplatanus"" 2.17360771475"
"Romania ""ROM21"" ""Fagus.sylvatica"" 1.230754980125"
"Romania ""ROM21"" ""Picea.abies"" 0.665061052375"
"Romania ""ROM22"" ""Abies.alba"" 1.29645204"
"Romania ""ROM22"" ""Fagus.sylvatica"" 1.117155970125"
"Romania ""ROM22"" ""Picea.abies"" 2.081721692125"
"Romania ""ROM23"" ""Abies.alba"" 6.369830210375"
"Romania ""ROM24"" ""Abies.alba"" 3.11942905025"
"Romania ""ROM24"" ""Fagus.sylvatica"" 2.12351873625"
"Romania ""ROM25"" ""Abies.alba"" 0.67519734075"
"Romania ""ROM25"" ""Acer.pseudoplatanus"" 1.878054110125"
"Romania ""ROM25"" ""Fagus.sylvatica"" 1.848419158875"
